#,Año,M,D,H,M.1,S,Err.,L,Latitud,Err..1,Longitud,Err..2,Prof.,Err..3,NST,RMS,GAP,ML,Agen.
1,2021,1,3,23,35,33.8,0.3,L,-54.804,2.3,-67.206,2.5,0.0,0.0,1,0.0,360,1.6,EAR
2,2021,1,26,7,46,42.3,3.16,R,-53.09,36.2,-73.53,80.2,10.0F,0.0,5,1.7,255,3.1,EAR
3,2021,1,27,21,46,10.9,0.38,L,-54.689,5.2,-67.467,9.2,9.5,3.7,4,0.1,211,3.1,EAR
4,2021,2,8,23,10,31.6,1.0,L,-54.565,4.0,-66.912,8.4,8.4,5.8,7,0.4,180,3.8,EAR
5,2021,2,17,2,2,20.8,0.75,R,-54.636,4.9,-69.748,7.0,3.1,7.5,3,0.3,239,2.2,EAR
6,2021,2,27,15,16,30.8,2.95,D,-53.764,46.5,-60.507,47.8,9.5,30.8,6,1.1,218,3.6,EAR
7,2021,2,27,16,7,57.8,0.73,L,-54.778,7.5,-69.408,6.6,9.0,7.8,4,0.3,240,2.7,EAR
8,2021,3,5,8,24,39.0,2.15,R,-51.062,18.0,-68.322,23.8,18.2,27.7,4,0.9,189,3.2,EAR
9,2021,3,11,8,46,7.5,0.3,L,-54.766,3.9,-67.25,4.0,12.0F,0.0,1,0.0,360,1.6,EAR
10,2021,3,11,8,46,56.9,0.3,L,-54.668,3.2,-67.279,15.1,12.0F,0.0,1,0.0,360,1.7,EAR
11,2021,3,11,8,52,35.0,0.28,L,-54.685,1.2,-67.396,14.0,12.0F,0.0,1,0.0,360,1.8,EAR
12,2021,3,11,8,56,28.9,0.3,L,-54.627,6.2,-67.312,3.2,12.0F,0.0,1,0.0,360,1.8,EAR
13,2021,3,11,9,7,58.8,0.47,L,-54.704,16.0,-67.365,17.3,12.0F,0.0,1,0.1,360,1.9,EAR
14,2021,3,11,9,20,37.5,0.4,L,-54.674,0.6,-67.546,11.5,6.0,9.1,2,0.1,236,2.2,EAR
15,2021,3,11,9,21,31.5,0.4,L,-54.665,0.5,-67.577,1.8,6.0,4.4,2,0.1,234,2.0,EAR
16,2021,3,11,9,24,21.7,0.74,L,-54.607,9.2,-67.509,21.2,6.2,28.5,2,0.2,199,2.1,EAR
17,2021,3,11,9,40,16.0,0.27,L,-54.682,0.2,-67.233,8.3,12.0F,0.0,1,0.0,360,1.9,EAR
18,2021,3,11,10,18,43.8,0.27,L,-54.675,1.0,-67.273,12.2,12.0F,0.0,1,0.0,360,1.7,EAR
19,2021,3,11,10,27,40.9,0.58,L,-54.55,1.8,-67.219,9.9,8.1,2.4,4,0.2,243,2.4,EAR
20,2021,3,11,10,40,51.6,0.34,L,-54.659,16.0,-67.351,8.9,12.0F,0.0,1,0.0,360,1.8,EAR
21,2021,3,11,10,41,34.6,0.42,L,-54.701,9.0,-67.385,19.4,12.0F,0.0,1,0.1,360,1.7,EAR
22,2021,3,11,10,42,37.5,0.3,L,-54.618,5.7,-67.368,2.6,12.0F,0.0,1,0.0,360,1.8,EAR
23,2021,3,11,10,53,43.3,0.3,L,-54.701,4.5,-67.28,13.0,12.0F,0.0,1,0.0,360,1.8,EAR
24,2021,3,11,11,13,44.1,0.3,L,-54.705,0.8,-67.103,6.5,12.0F,0.0,1,0.0,360,2.4,EAR
25,2021,3,11,11,29,2.6,1.12,L,-54.591,6.9,-67.492,8.2,4.2,5.0,8,0.5,157,3.3,EAR
26,2021,3,11,12,13,32.7,0.42,L,-54.657,0.5,-67.539,1.8,6.1,4.6,2,0.1,227,2.3,EAR
27,2021,3,11,12,19,0.7,0.34,L,-54.647,1.2,-67.513,6.1,6.8,33.0,2,0.0,219,2.2,EAR
28,2021,3,11,12,39,7.9,0.3,L,-54.645,1.7,-67.496,7.2,12.0F,0.0,1,0.0,360,,
29,2021,3,11,12,40,44.6,0.44,L,-54.557,5.7,-67.29,36.3,5.7,11.3,3,0.1,237,2.8,EAR
30,2021,3,11,12,45,13.9,0.3,L,-54.673,0.6,-67.215,9.2,12.0F,0.0,1,0.0,360,1.8,EAR
31,2021,3,11,13,17,10.4,0.3,L,-54.744,4.8,-67.281,4.4,12.0F,0.0,1,0.0,360,1.6,EAR
32,2021,3,11,13,33,35.4,0.3,L,-54.624,6.4,-67.344,0.6,12.0F,0.0,1,0.0,360,2.3,EAR
33,2021,3,11,14,22,26.3,0.3,L,-54.638,5.4,-67.282,7.3,12.0F,0.0,1,0.0,360,,
34,2021,3,11,15,41,1.7,1.54,L,-54.687,25.3,-67.336,66.3,27.0,16.8,2,0.3,273,,
35,2021,3,11,15,46,46.4,0.81,L,-54.681,59.8,-67.334,25.2,18.9,8.8,2,0.2,333,,
36,2021,3,11,15,55,54.7,1.7,L,-54.681,322.4,-67.334,123.7,27.7,18.6,2,0.4,342,2.0,EAR
37,2021,3,11,18,32,29.7,0.33,L,-54.653,2.4,-67.511,15.0,6.2,13.1,2,0.0,222,1.9,EAR
38,2021,3,11,18,32,40.8,0.32,L,-54.708,11.8,-67.322,7.1,12.2F,0.0,1,0.0,360,1.9,EAR
39,2021,3,11,18,37,37.6,0.56,L,-54.555,1.8,-67.274,9.7,6.1,2.4,4,0.2,231,2.5,EAR
40,2021,3,11,18,47,46.2,0.31,L,-54.646,1.0,-67.475,4.0,11.5,5.6,2,0.0,212,2.0,EAR
41,2021,3,11,18,56,7.6,0.3,L,-54.633,4.9,-67.275,6.6,12.0F,0.0,1,0.0,360,1.9,EAR
42,2021,3,11,19,12,34.2,0.3,L,-54.621,5.0,-67.397,4.9,12.0F,0.0,1,0.0,360,1.7,EAR
43,2021,3,11,19,12,51.3,0.3,L,-54.635,6.5,-67.376,5.2,12.0F,0.0,1,0.0,360,1.9,EAR
44,2021,3,11,19,19,40.7,0.3,L,-54.683,0.4,-67.429,11.9,12.0F,0.0,1,0.0,360,1.8,EAR
45,2021,3,11,19,26,28.8,0.3,L,-54.72,z,-67.319,4.2,12.0F,0.0,1,0.0,360,1.8,EAR
46,2021,3,11,19,32,36.5,0.3,L,-54.715,3.8,-67.259,8.9,12.0F,0.0,1,0.0,360,1.7,EAR
47,2021,3,11,20,53,35.7,1.33,L,-54.64,4.4,-67.505,5.6,6.5,8.6,5,0.5,142,2.3,EAR
48,2021,3,11,20,55,15.4,0.27,L,-54.743,4.8,-67.333,0.6,12.0F,0.0,1,0.0,360,,
49,2021,3,11,21,36,54.2,0.3,L,-54.693,3.4,-67.281,15.5,12.0F,0.0,1,0.0,360,1.7,EAR
50,2021,3,12,0,11,43.3,0.64,L,-54.61,1.3,-67.444,2.1,7.9,2.9,3,0.1,176,2.3,EAR
51,2021,3,12,0,17,7.8,0.3,L,-54.731,5.8,-67.382,4.9,12.0F,0.0,1,0.0,360,,
52,2021,3,12,11,1,8.0,1.07,L,-54.708,1.6,-67.589,9.8,1.9,11.1,5,0.3,177,1.8,EAR
