anio,mes,dia,hora,minuto,segundo,clasificacion_distancia,latitud,longitud,profundidad_km,cantidad_estaciones,rms,gap,magnitud_ml,significativo,dist_ushuaia,dist_rio_grande,dist_tolhuin,distancia_min_km,percibido
2021,1,3,23,35,33.8,L,-54.804,-67.206,0.0,1,0.0,360,1.6,0,70.54484943845769,117.77840231111296,31.475849706183293,31.475849706183293,0
2021,1,26,7,46,42.3,R,-53.09,-73.53,10.0,5,1.7,255,3.1,0,392.4106867397047,394.39522319344667,446.85826049605595,392.4106867397047,0
2021,1,27,21,46,10.9,L,-54.689,-67.467,9.5,4,0.1,211,3.1,0,55.28436318914095,101.56130969686265,25.868344624907586,25.868344624907586,0
2021,2,8,23,10,31.6,L,-54.565,-66.912,8.4,7,0.4,180,3.8,0,93.50894722874129,100.98135657558917,18.61625361365236,18.61625361365236,1
2021,2,17,2,2,20.8,R,-54.636,-69.748,3.1,3,0.3,239,2.2,0,94.92859601598038,163.09642241807973,165.90896058526988,94.92859601598038,0
2021,2,27,15,16,30.8,D,-53.764,-60.507,9.5,6,1.1,218,3.6,0,520.434845993635,474.6469028138267,444.60489138481364,444.60489138481364,0
2021,2,27,16,7,57.8,L,-54.778,-69.408,9.0,4,0.3,240,2.7,0,71.13148052990162,156.15948654962938,146.0067785415502,71.13148052990162,0
2021,3,5,8,24,39.0,R,-51.062,-68.322,18.2,4,0.9,189,3.2,0,416.19628754907154,306.1485012316745,392.4605421428378,306.1485012316745,0
2021,3,11,8,46,7.5,L,-54.766,-67.25,12.0,1,0.0,360,1.6,0,67.86454474323959,112.9328082797698,27.50501603886124,27.50501603886124,0
2021,3,11,8,46,56.9,L,-54.668,-67.279,12.0,1,0.0,360,1.7,0,67.62374890620455,101.92799189412709,17.309678598360353,17.309678598360353,0
2021,3,11,8,52,35.0,L,-54.685,-67.396,12.0,1,0.0,360,1.8,0,59.843954845938384,101.94797698685782,22.569727869230018,22.569727869230018,0
2021,3,11,8,56,28.9,L,-54.627,-67.312,12.0,1,0.0,360,1.8,0,66.76874999664341,96.95466990798882,14.168024530181548,14.168024530181548,0
2021,3,11,9,7,58.8,L,-54.704,-67.365,12.0,1,0.1,360,1.9,0,61.36965374637079,104.43577245710506,23.26882282053547,23.26882282053547,0
2021,3,11,9,20,37.5,L,-54.674,-67.546,6.0,2,0.1,236,2.2,0,50.794669110778045,99.22784961796468,28.61589024071602,28.61589024071602,0
2021,3,11,9,21,31.5,L,-54.665,-67.577,6.0,2,0.1,234,2.0,0,49.18728820730208,98.03313714226299,29.703022665496587,29.703022665496587,0
2021,3,11,9,24,21.7,L,-54.607,-67.509,6.2,2,0.2,199,2.1,0,55.59211120077269,92.12913983488407,22.746182866627834,22.746182866627834,0
2021,3,11,9,40,16.0,L,-54.682,-67.233,12.0,1,0.0,360,1.9,0,70.19237989779832,104.27969062710763,18.095061235384563,18.095061235384563,0
2021,3,11,10,18,43.8,L,-54.675,-67.273,12.0,1,0.0,360,1.7,0,67.82865209241412,102.78429520887845,17.925752258123268,17.925752258123268,0
2021,3,11,10,27,40.9,L,-54.55,-67.219,8.1,4,0.2,243,2.4,0,75.33927777319002,90.69545546866902,3.7057408024550416,3.7057408024550416,0
2021,3,11,10,40,51.6,L,-54.659,-67.351,12.0,1,0.0,360,1.8,0,63.358989384512334,99.76230884651726,18.529401357409593,18.529401357409593,0
2021,3,11,10,41,34.6,L,-54.701,-67.385,12.0,1,0.1,360,1.7,0,60.166444053599776,103.83642018963448,23.641598006381404,23.641598006381404,0
2021,3,11,10,42,37.5,L,-54.618,-67.368,12.0,1,0.0,360,1.8,0,63.64681843398475,95.06819923736766,15.767502130744953,15.767502130744953,0
2021,3,11,10,53,43.3,L,-54.701,-67.28,12.0,1,0.0,360,1.8,0,66.82020061393203,105.44389753185521,20.82635138393901,20.82635138393901,0
2021,3,11,11,13,44.1,L,-54.705,-67.103,12.0,1,0.0,360,2.4,0,78.01146992230557,109.49056156385961,21.191417261437273,21.191417261437273,0
2021,3,11,11,29,2.6,L,-54.591,-67.492,4.2,8,0.5,157,3.3,0,57.318341113936356,90.53422703613069,21.036947904975687,21.036947904975687,0
2021,3,11,12,13,32.7,L,-54.657,-67.539,6.1,2,0.1,227,2.3,0,51.7952554201437,97.39793422032284,27.161344193498284,27.161344193498284,0
2021,3,11,12,19,0.7,L,-54.647,-67.513,6.8,2,0.0,219,2.2,0,53.7422172397969,96.50287040274283,25.147503447486024,25.147503447486024,0
2021,3,11,12,40,44.6,L,-54.557,-67.29,5.7,3,0.1,237,2.8,0,70.79997001516641,89.90449170153839,7.605881646608657,7.605881646608657,0
2021,3,11,12,45,13.9,L,-54.673,-67.215,12.0,1,0.0,360,1.8,0,71.5326398986416,103.6838059198738,16.954560897695924,16.954560897695924,0
2021,3,11,13,17,10.4,L,-54.744,-67.281,12.0,1,0.0,360,1.6,0,66.08526212355167,110.04581090385447,25.470879979711555,25.470879979711555,0
2021,3,11,13,33,35.4,L,-54.624,-67.344,12.0,1,0.0,360,2.3,0,64.90217766293931,96.09384584402325,15.166349409156604,15.166349409156604,0
2021,3,11,15,55,54.7,L,-54.681,-67.334,27.7,2,0.4,342,2.0,0,63.84252649440471,102.40259993734036,20.064931207786152,20.064931207786152,0
2021,3,11,18,32,29.7,L,-54.653,-67.511,6.2,2,0.0,222,1.9,0,53.65062513054871,97.18206481557486,25.417842420118365,25.417842420118365,0
2021,3,11,18,32,40.8,L,-54.708,-67.322,12.2,1,0.0,360,1.9,0,64.01882595951335,105.5060913232409,22.461479655007142,22.461479655007142,0
2021,3,11,18,37,37.6,L,-54.555,-67.274,6.1,4,0.2,231,2.5,0,71.83989841315403,90.01729760150617,6.6153018430504495,6.6153018430504495,0
2021,3,11,18,47,46.2,L,-54.646,-67.475,11.5,2,0.0,212,2.0,0,56.10160135593894,96.75336791882275,23.078814613979358,23.078814613979358,0
2021,3,11,18,56,7.6,L,-54.633,-67.275,12.0,1,0.0,360,1.9,0,68.86309674581166,98.26685474825447,13.592366995618727,13.592366995618727,0
2021,3,11,19,12,34.2,L,-54.621,-67.397,12.0,1,0.0,360,1.7,0,61.76820784334885,94.96849622409505,17.39746387728215,17.39746387728215,0
2021,3,11,19,12,51.3,L,-54.635,-67.376,12.0,1,0.0,360,1.9,0,62.5591513676581,96.78915765533809,17.465221928015527,17.465221928015527,0
2021,3,11,19,19,40.7,L,-54.683,-67.429,12.0,1,0.0,360,1.8,0,57.82334684738576,101.31957643809577,23.722475949834788,23.722475949834788,0
2021,3,11,19,26,28.8,L,-54.72,-67.319,12.0,1,0.0,360,1.8,0,63.99623557987774,106.84906693296982,23.632615942573462,23.632615942573462,0
2021,3,11,19,32,36.5,L,-54.715,-67.259,12.0,1,0.0,360,1.7,0,67.90256704374606,107.31233053899793,22.010944574108045,22.010944574108045,0
2021,3,11,20,53,35.7,L,-54.64,-67.505,6.5,5,0.5,142,2.3,0,54.48760495682594,95.80203617461846,24.28849616918894,24.28849616918894,0
2021,3,11,21,36,54.2,L,-54.693,-67.281,12.0,1,0.0,360,1.7,0,66.91869555418187,104.56888706139742,19.99216588642954,19.99216588642954,0
2021,3,12,0,11,43.3,L,-54.61,-67.444,7.9,3,0.1,176,2.3,0,59.3494667836681,93.15462199627872,19.17913617952495,19.17913617952495,0
2021,3,12,11,1,8.0,L,-54.708,-67.589,1.9,5,0.3,177,1.8,0,47.14306282013249,102.73889850662613,33.12019716873534,33.12019716873534,0
2021,4,1,22,31,6.3,R,-56.875,-67.961,10.0,5,0.4,282,2.6,0,231.8081811715335,344.07741775754306,266.48652756684425,231.8081811715335,0
2021,4,2,10,3,12.1,R,-54.734,-69.554,10.0,3,0.7,240,2.4,0,80.87092260549156,159.80994708269077,154.51435262738622,80.87092260549156,0
2021,4,2,10,13,15.5,R,-55.538,-70.426,32.1,3,0.3,294,2.7,0,158.15853141213506,262.04925171003435,235.84112419592137,158.15853141213506,0
2021,4,4,21,10,59.5,R,-54.472,-67.366,15.0,1,0.0,360,1.7,0,70.77472398812309,79.40846431761223,12.677608060486858,12.677608060486858,0
2021,4,7,13,47,39.7,R,-54.702,-67.549,5.0,1,0.0,360,1.2,0,49.805916802659844,102.30668764490312,30.709507132976952,30.709507132976952,0
2021,4,7,17,20,4.6,R,-54.926,-67.695,0.0,1,0.0,360,1.7,0,41.41205406996918,126.70953182894232,55.57465932695911,41.41205406996918,0
2021,4,9,11,45,44.0,R,-54.534,-69.458,10.0,3,0.3,221,2.4,0,80.26664328654083,141.22337819232422,146.8583014459579,80.26664328654083,0
2021,4,11,5,42,53.0,R,-54.342,-67.968,66.7,4,0.1,157,2.2,0,55.589688905553956,63.97627129410741,54.31217332554996,54.31217332554996,0
2021,4,16,13,28,3.6,R,-52.707,-69.664,10.3,1,0.0,360,3.1,0,249.83613971363397,177.4348759408385,259.9541533633964,177.4348759408385,0
2021,4,18,1,14,8.9,R,-55.357,-69.945,8.3,4,0.6,282,2.6,0,121.71907482437656,226.73169536253636,199.5715997455186,121.71907482437656,0
2021,4,18,3,32,0.7,R,-58.373,-65.543,10.0,6,0.5,290,3.4,0,432.21128159406095,527.989510684291,440.6989777605965,432.21128159406095,0
2021,4,22,14,22,4.1,L,-54.686,-66.71,14.5,5,0.2,310,2.5,0,103.39658251616302,119.34974771657815,36.00970898098604,36.00970898098604,0
2021,5,1,0,58,56.5,R,-54.571,-68.044,12.1,4,0.1,191,2.1,0,30.65389380173131,89.88148306610145,55.56013276516051,30.65389380173131,0
2021,5,7,23,38,14.4,R,-54.699,-58.03,0.4,7,0.8,338,3.4,0,660.9928367574084,638.6008162663626,591.7454882595172,591.7454882595172,0
2021,5,8,1,13,0.9,R,-54.71,-58.272,12.3,6,0.9,264,3.2,0,645.3455570368549,623.1850761626503,576.1159654427886,576.1159654427886,0
2021,5,9,7,7,18.9,R,-54.888,-70.407,36.9,4,0.6,274,2.6,0,135.49662125320077,213.95009252220834,211.354255621373,135.49662125320077,0
2021,5,17,17,49,2.6,L,-54.635,-69.395,7.7,3,0.8,270,2.5,0,72.7805103009915,144.86377235791244,143.15644781332313,72.7805103009915,0
2021,5,18,5,8,6.5,R,-54.508,-69.493,4.0,3,0.1,267,2.5,0,83.48138153175796,141.44811827629917,149.1721613313343,83.48138153175796,0
2021,6,3,23,45,6.9,L,-54.59,-69.462,0.0,4,0.4,226,2.0,0,78.3623542683681,145.12205145986707,147.20799365451498,78.3623542683681,0
2021,6,4,6,23,21.9,R,-52.946,-64.522,10.0,5,0.2,166,2.9,0,323.21216579967535,231.9125719253963,248.43976242666974,231.9125719253963,0
2021,6,13,16,28,13.7,R,-52.444,-71.591,13.9,8,1.2,145,2.9,0,340.8049826520463,299.7849183135929,372.4781995117654,299.7849183135929,0
2021,6,23,0,47,31.9,R,-55.596,-64.446,10.0,7,0.6,251,3.9,0,260.98603767118846,291.15698194327217,212.22488034937513,212.22488034937513,1
2021,6,23,22,6,55.7,R,-56.658,-64.131,6.9,3,0.3,278,2.9,0,333.6821012593416,392.2754992669374,306.172416202383,306.172416202383,0
2021,7,11,16,47,57.1,L,-54.551,-67.216,14.5,3,0.1,255,2.3,0,75.47686917244728,90.86876846882686,3.7087322478224816,3.7087322478224816,0
2021,7,27,9,7,56.5,R,-55.218,-70.525,30.3,4,0.3,287,2.6,0,149.50844090458884,242.07602533013988,227.71198853490193,149.50844090458884,0
2021,8,5,7,50,33.1,R,-54.319,-74.158,10.0,7,1.4,283,3.4,0,382.449761770271,426.2900050100646,452.71229788110793,382.449761770271,0
2021,8,27,1,14,47.4,R,-54.471,-67.262,7.7,3,0.2,241,1.6,0,76.64857608651747,81.4880378488577,7.30889270612632,7.30889270612632,0
2021,8,27,9,10,5.3,L,-54.47,-67.233,8.1,4,0.3,232,1.7,0,78.34902621688309,82.0847601769074,6.372399675581034,6.372399675581034,0
2021,9,13,1,15,48.1,L,-54.548,-67.223,6.1,4,0.5,242,2.8,0,75.1848412616334,90.39533467658467,3.6625088541523936,3.6625088541523936,0
2021,9,19,4,45,51.2,R,-57.164,-63.032,25.2,5,0.9,275,2.8,0,421.01322408904247,478.0798534811877,392.80778089816584,392.80778089816584,0
