anio,mes,dia,hora,minuto,segundo,clasificacion_distancia,latitud,longitud,profundidad_km,cantidad_estaciones,rms,gap,magnitud_ml,significativo
2021,1,3,23,35,33.8,L,-54.804,-67.206,0.0,1,0.0,360,1.6,0
2021,1,26,7,46,42.3,R,-53.09,-73.53,10.0,5,1.7,255,3.1,0
2021,1,27,21,46,10.9,L,-54.689,-67.467,9.5,4,0.1,211,3.1,0
2021,2,8,23,10,31.6,L,-54.565,-66.912,8.4,7,0.4,180,3.8,0
2021,2,17,2,2,20.8,R,-54.636,-69.748,3.1,3,0.3,239,2.2,0
2021,2,27,15,16,30.8,D,-53.764,-60.507,9.5,6,1.1,218,3.6,0
2021,2,27,16,7,57.8,L,-54.778,-69.408,9.0,4,0.3,240,2.7,0
2021,3,5,8,24,39.0,R,-51.062,-68.322,18.2,4,0.9,189,3.2,0
2021,3,11,8,46,7.5,L,-54.766,-67.25,12.0,1,0.0,360,1.6,0
2021,3,11,8,46,56.9,L,-54.668,-67.279,12.0,1,0.0,360,1.7,0
2021,3,11,8,52,35.0,L,-54.685,-67.396,12.0,1,0.0,360,1.8,0
2021,3,11,8,56,28.9,L,-54.627,-67.312,12.0,1,0.0,360,1.8,0
2021,3,11,9,7,58.8,L,-54.704,-67.365,12.0,1,0.1,360,1.9,0
2021,3,11,9,20,37.5,L,-54.674,-67.546,6.0,2,0.1,236,2.2,0
2021,3,11,9,21,31.5,L,-54.665,-67.577,6.0,2,0.1,234,2.0,0
2021,3,11,9,24,21.7,L,-54.607,-67.509,6.2,2,0.2,199,2.1,0
2021,3,11,9,40,16.0,L,-54.682,-67.233,12.0,1,0.0,360,1.9,0
2021,3,11,10,18,43.8,L,-54.675,-67.273,12.0,1,0.0,360,1.7,0
2021,3,11,10,27,40.9,L,-54.55,-67.219,8.1,4,0.2,243,2.4,0
2021,3,11,10,40,51.6,L,-54.659,-67.351,12.0,1,0.0,360,1.8,0
2021,3,11,10,41,34.6,L,-54.701,-67.385,12.0,1,0.1,360,1.7,0
2021,3,11,10,42,37.5,L,-54.618,-67.368,12.0,1,0.0,360,1.8,0
2021,3,11,10,53,43.3,L,-54.701,-67.28,12.0,1,0.0,360,1.8,0
2021,3,11,11,13,44.1,L,-54.705,-67.103,12.0,1,0.0,360,2.4,0
2021,3,11,11,29,2.6,L,-54.591,-67.492,4.2,8,0.5,157,3.3,0
2021,3,11,12,13,32.7,L,-54.657,-67.539,6.1,2,0.1,227,2.3,0
2021,3,11,12,19,0.7,L,-54.647,-67.513,6.8,2,0.0,219,2.2,0
2021,3,11,12,40,44.6,L,-54.557,-67.29,5.7,3,0.1,237,2.8,0
2021,3,11,12,45,13.9,L,-54.673,-67.215,12.0,1,0.0,360,1.8,0
